hsk,characters,pinyin,english,extra,len,c1,c2,p1,p2,pinyin_num
3,阿姨,āyí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one\'s parents (term of address used by child); CL:個|个[ge4],,2,阿,姨,a1,yi2,a1 yi2
3,啊,a,"modal particle ending sentence, showing affirmation, approval, or consent",,1,啊,,a5,,a5
5,唉,āi,"interjection or grunt of agreement or recognition (e.g. yes, it\'s me!); to sigh",,1,唉,,ai1,,ai1
6,哎哟,āiyō,hey; ow; ouch; interjection of pain or surprise,,2,哎,哟,ai1,yo1,ai1 yo1
6,挨,āi,to suffer from; to endure; to tide over (a difficult period); to delay,,1,挨,,ai2,,ai2
6,癌症,áizhèng,cancer,,2,癌,症,ai2,zheng4,ai2 zheng4
3,矮,ǎi,low; short (in length),,1,矮,,ai3,,ai3
1,爱,ài,to love; affection; to be fond of; to like,,1,爱,,ai4,,ai4
6,爱不释手,àibùshìshǒu,to love sth too much to part with it (idiom); to fondle admiringly,,4,爱,不,ai4,bu4,ai4 bu4 shi4 shou3
6,爱戴,àidài,to love and respect; love and respect,,2,爱,戴,ai4,dai4,ai4 dai4
3,爱好,àihào,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4],,2,爱,好,ai4,hao4,ai4 hao4
5,爱护,àihù,to cherish; to treasure; to take care of; to love and protect,,2,爱,护,ai4,hu4,ai4 hu4
6,暧昧,àimèi,vague; ambiguous; equivocal; dubious,,2,暧,昧,ai4,mei4,ai4 mei4
4,爱情,àiqíng,romance; love (romantic); CL:個|个[ge4],,2,爱,情,ai4,qing2,ai4 qing2
5,爱惜,àixī,to cherish; to treasure; to use sparingly,,2,爱,惜,ai4,xi1,ai4 xi1
5,爱心,àixīn,compassion; CL:片[pian4],,2,爱,心,ai4,xin1,ai4 xin1
3,安静,ānjìng,quiet; peaceful; calm,,2,安,静,an1,jing4,an1 jing4
6,安居乐业,ānjūlèyè,live in peace and work happily (idiom),,4,安,居,an1,ju1,an1 ju1 le4 ye4
6,安宁,ānníng,peaceful; tranquil; calm; composed,,2,安,宁,an1,ning2,an1 ning2
4,安排,ānpái,to arrange; to plan; to set up,,2,安,排,an1,pai2,an1 pai2
4,安全,ānquán,safe; secure; safety; security,,2,安,全,an1,quan2,an1 quan2
5,安慰,ānwèi,to comfort; to console; CL:個|个[ge4],,2,安,慰,an1,wei4,an1 wei4
6,安详,ānxiáng,serene,,2,安,详,an1,xiang2,an1 xiang2
6,安置,ānzhì,find a place for; help settle down; arrange for; to get into bed; placement,,2,安,置,an1,zhi4,an1 zhi4
5,安装,ānzhuāng,install; erect; fix; mount; installation,,2,安,装,an1,zhuang1,an1 zhuang1
5,岸,àn,bank; shore; beach; coast; CL:個|个[ge4],,1,岸,,an4,,an4
4,暗,àn,dark; gloomy; hidden; secret; muddled; obscure; in the dark,,1,暗,,an4,,an4
6,案件,ànjiàn,"law case; legal case; judicial case; CL:宗[zong1],樁|桩[zhuang1],起[qi3]",,2,案,件,an4,jian4,an4 jian4
6,案例,ànlì,case (law); CL:個|个[ge4],,2,案,例,an4,li4,an4 li4
6,按摩,ànmó,massage,,2,按,摩,an4,mo2,an4 mo2
4,按时,ànshí,on time; before deadline; on schedule,,2,按,时,an4,shi2,an4 shi2
6,暗示,ànshì,to hint; to suggest; suggestion; a hint,,2,暗,示,an4,shi4,an4 shi4
4,按照,ànzhào,according to; in accordance with; in the light of; on the basis of,,2,按,照,an4,zhao4,an4 zhao4
6,昂贵,ángguì,expensive; costly,,2,昂,贵,ang2,gui4,ang2 gui4
6,凹凸,āotū,bumpy; uneven; slotted and tabbed joint; crenelation,,2,凹,凸,ao1,tu1,ao1 tu1
6,熬,áo,(of cooking) to boil for a long time; to endure; to suffer,,1,熬,,ao2,,ao2
6,奥秘,àomì,profound; deep; a mystery,,2,奥,秘,ao4,mi4,ao4 mi4
